Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C001363,다용도본드,C001361,3,생활용품 > 접착용품 > 다용도본드
쿠팡,C001364,목공용본드,C001361,3,생활용품 > 접착용품 > 목공용본드
쿠팡,C001365,순간접착제,C001361,3,생활용품 > 접착용품 > 순간접착제
쿠팡,C001366,스프레이접착제,C001361,3,생활용품 > 접착용품 > 스프레이접착제
쿠팡,C001367,에폭시/수지경화제,C001361,3,생활용품 > 접착용품 > 에폭시/수지경화제
쿠팡,C001368,접착제제거제,C001361,3,생활용품 > 접착용품 > 접착제제거제
쿠팡,C001370,테이프,C001361,3,생활용품 > 접착용품 > 테이프
쿠팡,C001369,기타용도 테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 기타용도 테이프
쿠팡,C001371,마스킹테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 마스킹테이프
쿠팡,C001372,미끄럼방지 테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 미끄럼방지 테이프
쿠팡,C001373,박스테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 박스테이프
쿠팡,C001374,사무용테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 사무용테이프
쿠팡,C001375,알루미늄테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 알루미늄테이프
쿠팡,C001376,양면테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 양면테이프
쿠팡,C001377,절연테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 절연테이프
쿠팡,C001378,청테이프/덕트테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 청테이프/덕트테이프
쿠팡,C001379,테이프커터/디스펜서,C001370,4,생활용품 > 접착용품 > 테이프 > 테이프커터/디스펜서
쿠팡,C001380,테프론테이프,C001370,4,생활용품 > 접착용품 > 테이프 > 테프론테이프
쿠팡,C001383,조명/전기용품,C000557,2,생활용품 > 조명/전기용품
쿠팡,C001382,건전지,C001383,3,생활용품 > 조명/전기용품 > 건전지
쿠팡,C001381,AAA건전지,C001382,4,생활용품 > 조명/전기용품 > 건전지 > AAA건전지
쿠팡,C001384,AA건전지,C001382,4,생활용품 > 조명/전기용품 > 건전지 > AA건전지
쿠팡,C001385,건전지충전기,C001382,4,생활용품 > 조명/전기용품 > 건전지 > 건전지충전기
쿠팡,C001386,멀티배터리/대형배터리,C001382,4,생활용품 > 조명/전기용품 > 건전지 > 멀티배터리/대형배터리
